Entity,Code,Year,"12.2.1 - Material footprint per capita, by type of raw material (tonnes) - EN_MAT_FTPRPC"
World,OWID_WRL,2000,9.34
World,OWID_WRL,2001,9.36
World,OWID_WRL,2002,9.43
World,OWID_WRL,2003,9.69
World,OWID_WRL,2004,10.09
World,OWID_WRL,2005,10.34
World,OWID_WRL,2006,10.68
World,OWID_WRL,2007,10.97
World,OWID_WRL,2008,10.99
World,OWID_WRL,2009,10.91
World,OWID_WRL,2010,11.39
World,OWID_WRL,2011,11.96
World,OWID_WRL,2012,12.19
World,OWID_WRL,2013,12.48
World,OWID_WRL,2014,12.52
World,OWID_WRL,2015,12.35
World,OWID_WRL,2016,12.36
World,OWID_WRL,2017,12.32
World,OWID_WRL,2018,12.29
World,OWID_WRL,2019,11.75
World,OWID_WRL,2020,12
World,OWID_WRL,2021,12.27
World,OWID_WRL,2022,12.28
