Entity,Code,Year,Voter turnout of registered voters,World regions according to OWID
Afghanistan,AFG,1969,50,
Afghanistan,AFG,2004,83.66,
Afghanistan,AFG,2005,49.37,
Afghanistan,AFG,2009,38.8,
Afghanistan,AFG,2010,45.83,
Afghanistan,AFG,2014,38.9,
Afghanistan,AFG,2018,45.23,
Afghanistan,AFG,2019,19,
Afghanistan,AFG,2023,,Asia
Africa,,1901,46.61,
Africa,,1947,59.4,
Africa,,1948,89,
Africa,,1952,64.240005,
Africa,,1953,36,
Africa,,1954,97,
Africa,,1956,67.59334,
Africa,,1957,56.62857,
Africa,,1958,75.55,
Africa,,1959,69.193,
Africa,,1960,83.86667,
Africa,,1961,90.344444,
Africa,,1962,81.833336,
Africa,,1963,87.34125,
Africa,,1964,86.01375,
Africa,,1965,87.494446,
Africa,,1966,83.53999,
Africa,,1967,89.23334,
Africa,,1968,75.08833,
Africa,,1969,80.748,
Africa,,1970,81.473335,
Africa,,1971,94.600006,
Africa,,1972,77.19,
Africa,,1973,80.72857,
Africa,,1974,75.90667,
Africa,,1975,89.166664,
Africa,,1976,81.2925,
Africa,,1977,86.248,
Africa,,1978,73.336,
Africa,,1979,77.7025,
Africa,,1980,87.19833,
Africa,,1981,87.334,
Africa,,1982,89.73625,
Africa,,1983,71.346664,
Africa,,1984,86.293,
Africa,,1985,72.764,
Africa,,1986,93.96333,
Africa,,1987,73.78714,
Africa,,1988,87.096,
Africa,,1989,82.3775,
Africa,,1990,61.032,
Africa,,1991,62.697144,
Africa,,1992,59.732002,
Africa,,1993,66.33923,
Africa,,1994,78.561005,
Africa,,1995,66.57917,
Africa,,1996,66.4475,
Africa,,1997,64.69182,
Africa,,1998,63.062,
Africa,,1999,70.453575,
Africa,,2000,66.96,
Africa,,2001,71.63545,
Africa,,2002,65.33737,
Africa,,2003,69.358574,
Africa,,2004,72.64,
Africa,,2005,70.023575,
Africa,,2006,67.18667,
Africa,,2007,59.404667,
Africa,,2008,71.65857,
Africa,,2009,68.236664,
Africa,,2010,70.802,
Africa,,2011,64.1245,
Africa,,2012,58.916363,
Africa,,2013,70.359,
Africa,,2014,66.13154,
Africa,,2015,60.678825,
Africa,,2016,64.9779,
Africa,,2017,64.55454,
Africa,,2018,63.73,
Africa,,2019,58.168667,
Africa,,2020,63.193123,
Africa,,2021,62.31,
Africa,,2022,52.5225,
Africa,,2023,58.465,
Africa,,2024,60.868126,
Aland Islands,ALA,2023,,Europe
Albania,ALB,1991,98.92,
Albania,ALB,1992,91.5,
Albania,ALB,1996,89.08,
Albania,ALB,1997,72.56,
Albania,ALB,2001,54.95,
Albania,ALB,2005,48.73,
Albania,ALB,2009,50.77,
Albania,ALB,2013,53.31,
Albania,ALB,2017,46.76,
Albania,ALB,2021,46.32,
Albania,ALB,2023,,Europe
Algeria,DZA,1963,88.9,
Algeria,DZA,1964,85,
Algeria,DZA,1976,99.5,
Algeria,DZA,1977,75.84,
Algeria,DZA,1979,99,
Algeria,DZA,1982,67.34,
Algeria,DZA,1984,96.28,
Algeria,DZA,1987,87,
Algeria,DZA,1988,89.08,
Algeria,DZA,1991,59,
Algeria,DZA,1995,75.69,
Algeria,DZA,1997,65.6,
Algeria,DZA,1999,60.91,
Algeria,DZA,2002,46.17,
Algeria,DZA,2004,58.07,
Algeria,DZA,2007,35.51,
Algeria,DZA,2009,74.56,
Algeria,DZA,2012,43.14,
Algeria,DZA,2014,49.42,
Algeria,DZA,2017,37.09,
Algeria,DZA,2019,39.88,
Algeria,DZA,2021,23.03,
Algeria,DZA,2024,46.1,
Algeria,DZA,2023,,Africa
American Samoa,ASM,2023,,Oceania
Andorra,AND,2023,,Europe
Angola,AGO,1992,90.37,
Angola,AGO,2008,87.36,
Angola,AGO,2012,62.75,
Angola,AGO,2017,71.59,
Angola,AGO,2022,44.82,
Angola,AGO,2023,,Africa
Anguilla,AIA,2023,,North America
Antigua and Barbuda,ATG,2023,,North America
Argentina,ARG,1912,68.5,
Argentina,ARG,1914,55.7,
Argentina,ARG,1916,62.7,
Argentina,ARG,1918,56.4,
Argentina,ARG,1920,53,
Argentina,ARG,1922,55.2,
Argentina,ARG,1924,44.2,
Argentina,ARG,1926,49.2,
Argentina,ARG,1928,80.9,
Argentina,ARG,1930,75.1,
Argentina,ARG,1931,73.4,
Argentina,ARG,1934,65.9,
Argentina,ARG,1936,70.9,
Argentina,ARG,1948,74.2,
Argentina,ARG,1954,86,
Argentina,ARG,1960,87.07,
Argentina,ARG,1962,85.73,
Argentina,ARG,1965,83.46,
Argentina,ARG,1973,85.55,
Argentina,ARG,1983,83.25,
Argentina,ARG,1985,82.19,
Argentina,ARG,1987,83.61,
Argentina,ARG,1989,85.02,
Argentina,ARG,1991,89.71,
Argentina,ARG,1993,79.7,
Argentina,ARG,1995,80.96,
Argentina,ARG,1997,78.22,
Argentina,ARG,1999,78.61,
Argentina,ARG,2001,75.21,
Argentina,ARG,2003,76.9,
Argentina,ARG,2005,70.94,
Argentina,ARG,2007,71.81,
Argentina,ARG,2009,72.39,
Argentina,ARG,2011,79.39,
Argentina,ARG,2013,77.17,
Argentina,ARG,2015,80.77,
Argentina,ARG,2017,76.74,
Argentina,ARG,2019,79,
Argentina,ARG,2021,71.51,
Argentina,ARG,2023,77.14,South America
Armenia,ARM,1990,60.2,
Armenia,ARM,1995,53.91,
Armenia,ARM,1996,60.32,
Armenia,ARM,1998,63.48,
Armenia,ARM,1999,51.72,
Armenia,ARM,2003,68.43,
Armenia,ARM,2007,59.99,
Armenia,ARM,2008,69.81,
Armenia,ARM,2012,62.87,
Armenia,ARM,2013,60.18,
Armenia,ARM,2017,60.93,
Armenia,ARM,2018,48.63,
Armenia,ARM,2021,49.41,
Armenia,ARM,2023,,Asia
Aruba,ABW,2023,,North America
Asia,,1902,88.4,
Asia,,1903,86.2,
Asia,,1904,86.1,
Asia,,1907,93.6,
Asia,,1908,85.3,
Asia,,1909,92.4,
Asia,,1912,89.6,
Asia,,1920,86.7,
Asia,,1924,91.2,
Asia,,1928,80.3,
Asia,,1930,83.34,
Asia,,1931,88,
Asia,,1932,81.67,
Asia,,1935,77.8,
Asia,,1936,78.6,
Asia,,1937,73.3,
Asia,,1943,50.9,
Asia,,1946,52.300003,
Asia,,1947,58.765,
Asia,,1948,74.97,
Asia,,1949,80.465,
Asia,,1950,89.825,
Asia,,1951,61.934002,
Asia,,1952,68.545,
Asia,,1953,62.105,
Asia,,1954,93.23333,
Asia,,1955,73.952,
Asia,,1956,71.80334,
Asia,,1957,74.92,
Asia,,1958,83.293335,
Asia,,1959,71.7975,
Asia,,1960,80.42857,
Asia,,1961,85.4375,
Asia,,1962,77.71,
Asia,,1963,87.99,
Asia,,1964,76.566666,
Asia,,1965,79.43,
Asia,,1966,90.4,
Asia,,1967,70.6175,
Asia,,1968,80.89667,
Asia,,1969,70.34556,
Asia,,1970,84.88,
Asia,,1971,75.03375,
Asia,,1972,71.71571,
Asia,,1973,76.78143,
Asia,,1974,94.6,
Asia,,1975,65.614,
Asia,,1976,81.806,
Asia,,1977,80.301254,
Asia,,1978,82.388336,
Asia,,1979,54.396667,
Asia,,1980,73.46,
Asia,,1981,81.89667,
Asia,,1982,86.0975,
Asia,,1983,68.5525,
Asia,,1984,75.7575,
Asia,,1985,80.3725,
Asia,,1986,73.225,
Asia,,1987,81.856,
Asia,,1988,66.26429,
Asia,,1989,68.744286,
Asia,,1990,76.29143,
